observation,species,exchange_num,clip_type,start_flight,start_timestamp,end_flight,end_timestamp,group_behavior
ob025,pz,ob025-1,exchange,1,15:40,2,5:03,0.0
ob029,imp,ob029-1,exchange,1,14:03,2,4:09,1.0
ob031,imp,ob031-1,exchange,1,18:24,2,3:09,1.0
ob033,pz,ob033-1,exchange,1,12:54,2,3:53,0.0
ob039,imp,ob039-1,exchange,1,11:26,2,5:10,0.0
ob039,imp,ob039-2,exchange,2,13:50,3,5:45,0.0
ob041,buf,ob041-1,exchange,1,15:54,2,3:49,1.0
ob041,buf,ob041-2,exchange,2,15:51,3,4:32,1.0
ob042,imp,ob042-1,exchange,1,18:09,2,3:06,0.0
ob047,pz,ob047-1,exchange,1,16:25,2,4:29,0.0
ob049,pz,ob049-1,exchange,1,15:56,2,5:30,0.0
ob050,imp,ob050-1,exchange,1,15:57,2,5:29,0.0
ob050,imp,ob050-2,exchange,2,15:23,3,4:48,0.0
ob051,imp,ob051-1,exchange,1,13:58,2,5:35,3.0
ob053,gz,ob053-1,exchange,1,19:16,2,3:29,0.0
ob055,imp,ob055-1,exchange,1,19:32,2,3:52,0.0
ob056,imp,ob056-1,exchange,1,17:06,2,4:25,0.0
ob058,imp,ob058-1,exchange,1,17:06,2,4:25,0.0
ob059,imp,ob059-1,exchange,1,16:57,2,3:30,1.0
ob061,gz,ob061-2,exchange,2,13:07,3,3:57,0.0
ob063,imp,ob063-1,exchange,1,17:03,2,4:45,0.0
ob063,imp,ob063-2,exchange,2,17:00,3,3:51,0.0
ob064,imp,ob064-2,exchange,2,12:37,3,5:02,0.0
ob065,imp,ob065-2,exchange,2,12:49,3,4:31,0.0
ob066,gz,ob066-1,exchange,1,15:52,2,4:33,0.0
ob068,imp,ob068-1,exchange,1,16:05,2,3:57,0.0
ob068,imp,ob068-2,exchange,2,15:27,3,5:22,0.0
ob070,pz,ob070-2,exchange,2,11:49,3,5:03,0.0
ob071,imp,ob071-1,exchange,1,18:23,2,3:03,0.0
ob074,gz,ob074-1,exchange,1,14:10,2,4:36,0.0
ob074,gz,ob074-2,exchange,2,16:44,3,4:12,0.0
ob075,imp,ob075-1,exchange,1,16:49,2,3:43,0.0
ob079,buf,ob079-1,exchange,1,13:56,2,4:23,2.0
ob081,pz,ob081-1,exchange,1,17:52,2,3:57,2.0
ob081,pz,ob081-2,exchange,2,17:41,3,5:32,0.0
ob083,gz,ob083-1,exchange,1,15:10,2,4:34,0.0
ob085,buf,ob085-1,exchange,1,18:39,2,4:37,0.0
ob085,buf,ob085-2,exchange,2,18:37,3,3:59,0.0
ob087,gz,ob087-4,exchange,4,15:43,5,5:00,2.0
ob088,gz,ob088-2,exchange,2,17:01,3,5:00,0.0
ob090,gz,ob090-1,exchange,1,17:42,2,3:22,0.0
ob093,pz,ob093-1,exchange,1,14:30,2,3:56,0.0
ob093,pz,ob093-2,exchange,2,15:11,3,3:45,0.0
ob094,buf,ob094-1,exchange,1,14:18,2,5:36,0.0
ob094,buf,ob094-3,exchange,3,15:19,4,4:15,2.0
ob095,pz,ob095-1,exchange,1,13:58,2,4:11,2.0
ob096,imp,ob096-1,exchange,1,12:41,2,5:03,3.0
ob101,pz,ob101-2,exchange,2,15:39,3,4:15,0.0
ob101,imp,ob101-2,exchange,2,15:39,3,4:15,0.0
ob103,imp,ob103-1,exchange,1,15:52,2,3:09,0.0
ob103,imp,ob103-2,exchange,2,16:15,3,3:18,0.0
ob105,buf,ob105-1,exchange,1,16:33,2,4:15,0.0
ob106,imp,ob106-1,exchange,1,16:34,2,3:14,0.0
ob107,imp,ob107-1,exchange,1,15:48,2,3:13,0.0
ob107,imp,ob107-2,exchange,2,15:31,3,3:26,0.0
ob110,pz,ob110-2,exchange,2,12:53,3,6:13,0.0
ob110,pz,ob110-3,exchange,3,12:29,4,6:19,0.0
ob111,imp,ob111-1,exchange,1,17:00,2,4:16,0.0
ob111,imp,ob111-2,exchange,2,17:38,3,3:40,0.0
ob112,imp,ob112-1,exchange,1,14:08,2,4:32,0.0
ob113,imp,ob113-1,exchange,1,15:22,2,3:28,0.0
ob114,gz,ob114-1,exchange,1,15:52,2,3:51,0.0
ob114,pz,ob114-1,exchange,1,15:52,2,3:51,0.0
ob114,imp,ob114-1,exchange,1,15:52,2,3:51,0.0
ob114,gz,ob114-2,exchange,2,15:23,3,3:57,0.0
ob114,pz,ob114-2,exchange,2,15:23,3,3:57,0.0
ob114,imp,ob114-2,exchange,2,15:23,3,3:57,0.0
ob115,pz,ob115-2,exchange,2,14:05,3,7:42,2.0
ob025,pz,ob025-1,post,2,5:04,2,7:04,0.0
ob029,imp,ob029-1,post,2,4:09,2,6:09,1.0
ob031,imp,ob031-1,post,2,3:09,2,5:09,1.0
ob033,pz,ob033-1,post,2,3:53,2,5:53,0.0
ob039,imp,ob039-1,post,2,5:10,2,7:10,0.0
ob041,buf,ob041-1,post,2,3:49,2,5:49,1.0
ob041,buf,ob041-2,post,3,4:32,3,6:32,2.0
ob042,imp,ob042-1,post,2,3:07,2,5:07,0.0
ob047,pz,ob047-1,post,2,4:30,2,6:30,0.0
ob049,pz,ob049-1,post,2,5:31,2,7:31,0.0
ob050,imp,ob050-1,post,2,5:30,2,7:30,0.0
ob050,imp,ob050-2,post,3,4:49,3,6:49,0.0
ob051,imp,ob051-1,post,2,5:36,2,7:36,1.0
ob053,gz,ob053-1,post,2,3:29,2,5:29,1.0
ob055,imp,ob055-1,post,2,3:53,2,5:53,0.0
ob056,imp,ob056-1,post,2,4:26,2,6:26,0.0
ob058,imp,ob058-1,post,2,4:26,2,6:26,0.0
ob059,imp,ob059-1,post,2,3:31,2,5:31,1.0
ob061,gz,ob061-2,post,3,3:58,3,5:58,0.0
ob063,imp,ob063-1,post,2,4:46,2,6:46,0.0
ob063,imp,ob063-2,post,3,3:52,3,5:52,0.0
ob064,imp,ob064-2,post,3,5:02,3,7:02,0.0
ob065,imp,ob065-2,post,3,4:31,3,6:31,0.0
ob066,gz,ob066-1,post,2,4:33,2,6:33,0.0
ob068,imp,ob068-1,post,2,3:57,2,5:57,0.0
ob068,imp,ob068-2,post,3,5:22,3,7:22,0.0
ob070,pz,ob070-2,post,3,5:03,3,7:03,0.0
ob071,imp,ob071-1,post,2,3:03,2,5:03,0.0
ob074,gz,ob074-1,post,2,4:36,2,6:36,0.0
ob074,gz,ob074-2,post,3,4:12,3,6:12,0.0
ob075,imp,ob075-1,post,2,3:43,2,5:43,0.0
ob083,gz,ob083-1,post,2,4:34,2,6:34,0.0
ob085,buf,ob085-1,post,2,4:37,2,6:37,0.0
ob085,buf,ob085-2,post,3,3:59,3,5:59,0.0
ob087,gz,ob087-4,post,5,5:00,5,7:00,0.0
ob088,gz,ob088-2,post,3,5:00,3,7:00,0.0
ob090,gz,ob090-1,post,2,3:22,2,5:22,0.0
ob093,pz,ob093-1,post,2,3:56,2,5:56,0.0
ob093,pz,ob093-2,post,3,3:45,3,5:45,2.0
ob094,buf,ob094-1,post,2,5:36,2,7:36,1.0
ob094,buf,ob094-3,post,4,4:15,4,6:15,1.0
ob095,pz,ob095-1,post,2,4:11,2,6:11,2.0
ob096,imp,ob096-1,post,2,5:03,2,7:03,1.0
ob101,pz,ob101-2,post,3,4:15,3,6:15,0.0
ob101,imp,ob101-2,post,3,4:15,3,6:15,1.0
ob103,imp,ob103-1,post,2,3:09,2,5:09,0.0
ob103,imp,ob103-2,post,3,3:18,3,5:18,0.0
ob105,buf,ob105-1,post,2,4:15,2,6:15,0.0
ob106,imp,ob106-1,post,2,3:14,2,5:14,0.0
ob107,imp,ob107-1,post,2,3:13,2,5:13,0.0
ob107,imp,ob107-2,post,3,3:26,3,5:26,0.0
ob110,pz,ob110-2,post,3,6:13,3,8:13,0.0
ob110,pz,ob110-3,post,4,6:19,4,8:19,0.0
ob111,imp,ob111-1,post,2,4:16,2,6:16,0.0
ob111,imp,ob111-2,post,3,3:40,3,5:40,0.0
ob112,imp,ob112-1,post,2,4:32,2,6:32,0.0
ob114,gz,ob114-1,post,2,3:51,2,5:51,0.0
ob114,pz,ob114-1,post,2,3:51,2,5:51,0.0
ob114,imp,ob114-1,post,2,3:51,2,5:51,0.0
ob114,gz,ob114-2,post,3,3:57,3,5:57,0.0
ob114,pz,ob114-2,post,3,3:57,3,5:57,0.0
ob114,imp,ob114-2,post,3,3:57,3,5:57,0.0
ob115,pz,ob115-2,post,3,7:42,3,9:42,2.0
ob025,pz,ob025-1,pre,1,13:39,1,15:39,0.0
ob029,imp,ob029-1,pre,1,12:03,1,14:03,1.0
ob031,imp,ob031-1,pre,1,16:24,1,18:24,0.0
ob033,pz,ob033-1,pre,1,10:54,1,12:54,2.0
ob039,imp,ob039-1,pre,1,9:26,1,11:26,0.0
ob039,imp,ob039-2,pre,2,11:50,2,13:50,0.0
ob041,buf,ob041-1,pre,1,13:54,1,15:54,1.0
ob041,buf,ob041-2,pre,2,13:51,2,15:51,0.0
ob042,imp,ob042-1,pre,1,16:08,1,18:08,1.0
ob047,pz,ob047-1,pre,1,14:24,1,16:24,0.0
ob049,pz,ob049-1,pre,1,13:55,1,15:55,0.0
ob050,imp,ob050-1,pre,1,13:56,1,15:56,0.0
ob050,imp,ob050-2,pre,2,13:22,2,15:22,0.0
ob051,imp,ob051-1,pre,1,11:57,1,13:57,1.0
ob053,gz,ob053-1,pre,1,17:15,1,19:15,0.0
ob055,imp,ob055-1,pre,1,17:31,1,19:31,0.0
ob056,imp,ob056-1,pre,1,15:05,1,17:05,0.0
ob058,imp,ob058-1,pre,1,15:05,1,17:05,0.0
ob059,imp,ob059-1,pre,1,14:56,1,16:56,0.0
ob061,gz,ob061-2,pre,2,11:06,2,13:06,0.0
ob063,imp,ob063-1,pre,1,15:02,1,17:02,0.0
ob063,imp,ob063-2,pre,2,14:59,2,16:59,0.0
ob064,imp,ob064-2,pre,2,10:36,2,12:36,0.0
ob065,imp,ob065-2,pre,2,10:49,2,12:49,0.0
ob066,gz,ob066-1,pre,1,13:52,1,15:52,2.0
ob068,imp,ob068-1,pre,1,14:05,1,16:05,0.0
ob068,imp,ob068-2,pre,2,13:27,2,15:27,0.0
ob070,pz,ob070-2,pre,2,9:49,2,11:49,0.0
ob071,imp,ob071-1,pre,1,16:23,1,18:23,0.0
ob074,gz,ob074-1,pre,1,12:10,1,14:10,0.0
ob074,gz,ob074-2,pre,2,14:44,2,16:44,0.0
ob075,imp,ob075-1,pre,1,14:49,1,16:49,0.0
ob079,buf,ob079-1,pre,1,11:56,1,13:56,2.0
ob081,pz,ob081-1,pre,1,15:52,1,17:52,1.0
ob081,pz,ob081-2,pre,2,15:41,2,17:41,0.0
ob083,gz,ob083-1,pre,1,13:10,1,15:10,0.0
ob085,buf,ob085-1,pre,1,16:39,1,18:39,0.0
ob085,buf,ob085-2,pre,2,16:37,2,18:37,0.0
ob087,gz,ob087-4,pre,4,13:43,4,15:43,2.0
ob088,gz,ob088-2,pre,2,15:01,2,17:01,0.0
ob090,gz,ob090-1,pre,1,15:42,1,17:42,0.0
ob093,pz,ob093-1,pre,1,12:30,1,14:30,0.0
ob093,pz,ob093-2,pre,2,13:11,2,15:11,2.0
ob094,buf,ob094-1,pre,1,12:18,1,14:18,0.0
ob094,buf,ob094-3,pre,3,13:19,3,15:19,2.0
ob095,pz,ob095-1,pre,1,11:58,1,13:58,1.0
ob096,imp,ob096-1,pre,1,10:41,1,12:41,2.0
ob101,pz,ob101-2,pre,2,13:39,2,15:39,0.0
ob101,imp,ob101-2,pre,2,13:39,2,15:39,0.0
ob103,imp,ob103-1,pre,1,13:52,1,15:52,0.0
ob103,imp,ob103-2,pre,2,14:15,2,16:15,0.0
ob105,buf,ob105-1,pre,1,14:33,1,16:33,2.0
ob106,imp,ob106-1,pre,1,14:34,1,16:34,1.0
ob107,imp,ob107-1,pre,1,13:48,1,15:48,0.0
ob107,imp,ob107-2,pre,2,13:31,2,15:31,0.0
ob110,pz,ob110-2,pre,2,10:53,2,12:53,0.0
ob110,pz,ob110-3,pre,3,10:29,3,12:29,0.0
ob111,imp,ob111-1,pre,1,15:00,1,17:00,0.0
ob111,imp,ob111-2,pre,2,15:38,2,17:38,0.0
ob112,imp,ob112-1,pre,1,12:08,1,14:08,0.0
ob113,imp,ob113-1,pre,1,13:22,1,15:22,0.0
ob114,gz,ob114-1,pre,1,13:52,1,15:52,0.0
ob114,pz,ob114-1,pre,1,13:52,1,15:52,0.0
ob114,imp,ob114-1,pre,1,13:52,1,15:52,0.0
ob114,gz,ob114-2,pre,2,13:23,2,15:23,0.0
ob114,pz,ob114-2,pre,2,13:23,2,15:23,0.0
ob114,imp,ob114-2,pre,2,13:23,2,15:23,0.0
ob115,pz,ob115-2,pre,2,12:05,2,14:05,2.0
