observation,flight,flight_type,site,species,clip_type,group_size_spp,group_size_total,young_present,any_resting,any_foraging,any_alert,any_traveling,any_fleeing,group_resting,group_foraging,group_alert,group_traveling,group_fleeing,note,exclude,score_order_BC,randassign_SL,score_order_SL
ob001,001-01,initial,opc,gg,first,5,21,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,gohome and landed key points aren't in log because we returned to home manually and caught the drone rather than landing it on the ground,,2,40,641
ob001,001-01,initial,opc,tg,first,16,21,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,gohome and landed key points aren't in log because we returned to home manually and caught the drone rather than landing it on the ground,,2,40,641
ob001,001-01,initial,opc,tg,second,15,16,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,454,58,2821
ob001,001-01,initial,opc,imp,second,1,16,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,454,58,2821
ob002,002-01,initial,opc,buf,first,14,14,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Gohome not in the drone log because we returned to home manually,,214,62,2811
ob002,002-01,initial,opc,buf,second,14,15,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,374,70,4119
ob002,002-01,initial,opc,pz,second,1,15,FALSE,NAN,NAN,TRUE,TRUE,NAN,NAN,NAN,NAN,NAN,NAN,,,374,70,4119
ob003,003-01,initial,opc,tg,first,5,26,TRUE,NAN,NAN,TRUE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Leave frame due to drone movement,,122,99,3267
ob003,003-01,initial,opc,pz,first,21,26,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,122,99,3267
ob003,003-01,initial,opc,tg,second,5,20,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,278,64,4832
ob003,003-01,initial,opc,pz,second,15,20,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,278,64,4832
ob004,004-01,initial,opc,gg,first,9,9,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,video started when drone was already over group - check how long drone was in place before video started,,5,51,1005
ob004,004-01,initial,opc,gg,second,8,8,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,403,18,1427
ob005,005-01,initial,opc,buf,first,113,113,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"launch and gimbal down are too close to each other to distinguish, so I've only entered 1 value",,81,34,2000
ob005,005-01,initial,opc,buf,second,125,125,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,414,95,4064
ob006,006-01,initial,opc,eland,first,8,8,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,4,60,962
ob006,006-01,initial,opc,eland,second,8,8,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,445,34,2634
ob007,007-01,initial,opc,warthog,first,7,84,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,130,55,2577
ob007,007-01,initial,opc,tg,first,77,84,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,130,55,2577
ob007,007-01,initial,opc,warthog,second,7,67,TRUE,NAN,TRUE,TRUE,TRUE,NAN,FALSE,TRUE,FALSE,TRUE,FALSE,,,277,26,3420
ob007,007-01,initial,opc,tg,second,58,67,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,,277,26,3420
ob007,007-01,initial,opc,gg,second,2,67,TRUE,NAN,TRUE,TRUE,NAN,NAN,FALSE,FALSE,TRUE,FALSE,FALSE,,,277,26,3420
ob008,008-01,initial,opc,waterbuck,first,14,24,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,44,27,3875
ob008,008-01,initial,opc,pz,first,10,24,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"mother and foal run to center of group, in response to other zebras running in from outside of frame.",,44,27,4693
ob008,008-01,initial,opc,pz,second,29,43,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,265,14,3682
ob008,008-01,initial,opc,waterbuck,second,14,43,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,265,14,3682
ob009,009-01,initial,opc,tg,first,13,14,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,31,50,3016
ob009,009-01,initial,opc,imp,first,1,14,FALSE,TRUE,NAN,NAN,NAN,NAN,TRUE,FALSE,FALSE,FALSE,FALSE,,,31,50,3016
ob009,009-01,initial,opc,tg,second,13,14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,285,5,4120
ob009,009-01,initial,opc,imp,second,1,14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,285,5,4120
ob010,010-01,initial,opc,gg,first,5,19,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,109,51,478
ob010,010-01,initial,opc,tg,first,14,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,,109,51,478
ob010,010-01,initial,opc,gg,second,6,19,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,427,37,4038
ob010,010-01,initial,opc,tg,second,13,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,427,37,4038
ob011,011-01,initial,opc,gg,first,3,31,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,85,68,1869
ob011,011-01,initial,opc,tg,first,28,31,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,85,68,1869
ob011,011-01,initial,opc,gg,second,7,31,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,415,38,3235
ob011,011-01,initial,opc,tg,second,24,31,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,415,38,3235
ob012,012-01,initial,opc,buf,first,34,34,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,156,3,1067
ob012,012-01,initial,opc,buf,second,33,33,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,347,97,123
ob013,013-01,initial,mpala,waterbuck,first,1,29,FALSE,NAN,NAN,TRUE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,,10,50,4187
ob013,013-01,initial,mpala,imp,first,28,29,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Leave frame due to drone movement,,10,50,4187
ob013,013-01,initial,mpala,waterbuck,second,1,25,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,294,0,4071
ob013,013-01,initial,mpala,imp,second,24,25,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,294,0,4071
ob014,014-01,initial,mpala,imp,first,27,27,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,176,29,524
ob014,014-01,initial,mpala,imp,second,27,27,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,447,43,3338
ob015,015-01,initial,mpala,pz,first,2,12,FALSE,NAN,TRUE,TRUE,TRUE,NAN,FALSE,TRUE,FALSE,FALSE,FALSE,,,98,77,3940
ob015,015-01,initial,mpala,gz,first,10,12,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,,98,77,3940
ob015,015-01,initial,mpala,gz,second,5,5,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,230,64,1332
ob016,016-01,initial,mpala,gz,first,3,38,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,7,86,2634
ob016,016-01,initial,mpala,imp,first,35,38,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,7,86,2634
ob016,016-01,initial,mpala,gz,second,3,29,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,397,72,3736
ob016,016-01,initial,mpala,imp,second,26,29,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,397,72,3736
ob017,017-01,initial,mpala,elephant,first,9,9,TRUE,NAN,NAN,TRUE,NAN,TRUE,NAN,NAN,NAN,NAN,NAN,Leave frame due to animal movement; observation aborted to avoid further disturbance,,186,95,2378
ob017,017-01,initial,mpala,NAN,second,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,observation ends before second clip,TRUE,NAN,NAN,NAN
ob018,018-01,initial,mpala,imp,first,24,24,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,video started when drone was already over group - check how long drone was in place before video started,,1,17,612
ob018,018-01,initial,mpala,imp,second,25,25,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,435,73,3943
ob019,019-01,initial,mpala,giraffe,first,1,41,FALSE,NAN,NAN,NAN,TRUE,NAN,NAN,NAN,NAN,NAN,NAN,,,96,47,1827
ob019,019-01,initial,mpala,pz,first,40,41,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Leave frame due to animal movement,,96,47,1827
ob019,019-01,initial,mpala,pz,second,18,18,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,448,63,3820
ob020,020-01,initial,mpala,buf,first,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,exclude - eagle attacks drone seconds after observation begins,TRUE,NAN,NAN,NAN
ob020,020-01,initial,mpala,NAN,second,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,observation ends before second clip,TRUE,NAN,NAN,NAN
ob021,021-01,initial,mpala,imp,first,29,29,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,161,4,3343
ob021,021-01,initial,mpala,imp,second,28,28,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,252,2,733
ob022,022-01,initial,mpala,gg,first,12,12,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,video started when drone was already over group - check how long drone was in place before video started,,205,99,704
ob022,022-01,initial,mpala,gg,second,12,12,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,409,11,161
ob023,023-01,initial,mpala,gg,first,5,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,12,5,2418
ob023,023-01,initial,mpala,gg,second,5,5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,293,84,174
ob024,024-01,initial,mpala,giraffe,first,6,16,FALSE,NAN,TRUE,TRUE,TRUE,NAN,FALSE,FALSE,TRUE,TRUE,FALSE,,,135,10,2563
ob024,024-01,initial,mpala,imp,first,10,16,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,running spurred by a challenging male,,135,10,2563
ob024,024-01,initial,mpala,giraffe,second,8,8,TRUE,NAN,TRUE,TRUE,NAN,NAN,FALSE,FALSE,TRUE,FALSE,FALSE,,,238,85,1833
ob024,024-01,initial,mpala,imp,second,12,12,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,238,85,1833
ob025,025-01,initial,mpala,pz,first,36,41,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"part of group walks off, but rest of group stays",,222,73,2522
ob025,025-01,initial,mpala,warthog,first,5,41,TRUE,NAN,TRUE,TRUE,NAN,NAN,FALSE,TRUE,TRUE,FALSE,FALSE,,,222,73,2522
ob025,025-01,initial,mpala,pz,second,15,20,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,262,20,4094
ob025,025-01,initial,mpala,warthog,second,5,20,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,262,20,4094
ob025,025-02,replacement,mpala,warthog,first,5,30,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"walking, but graze-walking",,167,80,1628
ob025,025-02,replacement,mpala,pz,first,25,30,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"walking, but graze-walking",,167,80,1628
ob025,025-02,replacement,mpala,warthog,second,5,53,TRUE,NAN,TRUE,NAN,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,,349,65,1906
ob025,025-02,replacement,mpala,pz,second,48,53,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,349,65,1906
ob025,025-03,replacement,mpala,pz,first,48,48,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"never saw prior drone, started when searching seemed to have stopped",,198,50,3221
ob025,025-03,replacement,mpala,pz,second,52,52,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,393,6,3017
ob026,026-01,initial,mpala,imp,first,24,24,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,190,18,1365
ob026,026-01,initial,mpala,imp,second,25,25,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,,384,97,4242
ob026,026-02,replacement,mpala,imp,first,25,25,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,92,80,2866
ob026,026-02,replacement,mpala,imp,second,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,clip falls during scare,TRUE,NAN,NAN,NAN
ob027,027-01,initial,mpala,gz,first,7,7,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,79,48,429
ob027,027-01,initial,mpala,gz,second,7,7,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,231,69,1417
ob028,028-01,initial,mpala,gz,first,6,6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,155,59,1904
ob028,028-02,replacement,mpala,gz,first,6,6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,video started when drone was already over group - check how long drone was in place before video started,,64,97,3510
ob029,029-01,initial,mpala,imp,first,58,58,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,video started when drone was already over group - check how long drone was in place before video started,,51,52,403
ob029,029-01,initial,mpala,imp,second,58,58,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,308,61,3240
ob029,029-02,replacement,mpala,imp,first,55,55,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,203,71,750
ob029,029-02,replacement,mpala,imp,second,57,57,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,,387,14,2748
ob030,030-01,initial,mpala,imp,first,7,7,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,200,49,2251
ob030,030-01,initial,mpala,imp,second,7,7,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,287,91,339
ob030,030-02,replacement,mpala,imp,first,7,7,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,53,10,578
ob030,030-02,replacement,mpala,imp,second,7,7,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,423,72,3068
ob031-032,031-032-01,initial,mpala,imp,first,5,5,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,27,51,3125
ob031-032,031-032-01,initial,mpala,imp,second,5,5,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,460,83,1463
ob031-032,031-032-02,replacement,mpala,imp,first,5,11,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"some walking, but appears to be displacement by eland",,52,100,220
ob031-032,031-032-02,replacement,mpala,eland,first,6,11,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,52,100,220
ob031-032,031-032-02,replacement,mpala,imp,second,5,11,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,229,88,3785
ob031-032,031-032-02,replacement,mpala,eland,second,6,11,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,229,88,3785
ob031-032,031-032-03,replacement,mpala,imp,first,2,8,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,171,22,56
ob031-032,031-032-03,replacement,mpala,eland,first,6,8,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,171,22,56
ob031-032,031-032-03,replacement,mpala,eland,second,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,clip falls after scare,TRUE,NAN,NAN,NAN
ob033,033-01,initial,mpala,pz,first,27,27,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,91,65,2469
ob033,033-01,initial,mpala,pz,second,28,28,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,,418,76,1524
ob033,033-02,replacement,mpala,pz,first,30,30,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"walking, but graze-walking, not flight",,18,66,3696
ob033,033-02,replacement,mpala,pz,second,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,clip falls during scare,TRUE,NAN,NAN,NAN
ob034,034-01,initial,mpala,pz,first,14,18,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,first gimbal down is before camera was turned on,,141,14,3657
ob034,034-01,initial,mpala,imp,first,4,18,FALSE,NAN,NAN,TRUE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Leave/enter frame due to drone movement,,141,14,3657
ob034,034-01,initial,mpala,pz,second,20,20,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,,288,53,3558
