flight,temperature_c,wind_speed_ms,wind_direction,cloud_cover_%,humidity_%
001-01,15.8,1.2,140,0,85
002-01,17,0.8,67,0,81
003-01,17.5,1.1,97,73,79
004-01,18.1,2,116,73,76
005-01,19.1,3,116,73,71
006-01,19.9,3.8,116,73,67
007-01,20.6,4.2,118,0,64
008-01,17.1,2,60,0,85
009-01,17.7,1.9,67,65,82
010-01,18,1.4,101,65,81
011-01,18.4,1.5,113,65,79
012-01,18.9,1.9,88,65,76
013-01,20.1,2.1,97,0,69
014-01,20.6,2.6,116,0,67
015-01,21.4,3.9,158,0,63
016-01,22.4,3.7,76,79,54
017-01,17.9,2,99,79,88
018-01,18.4,2.8,93,79,83
019-01,19.2,3.8,87,0,77
020-01,19.7,4,74,0,74
021-01,20.8,4.2,63,0,67
022-01,21.8,2.4,65,75,68
023-01,22.4,2.1,77,75,61
024-01,22.2,2.5,69,0,60
025-01,18,2.2,76,75,84
025-02,18.5,1.9,82,75,82
025-03,18.8,2.5,76,75,81
026-01,19.5,4.1,68,75,77
026-02,19.8,4.7,65,0,75
027-01,20.8,6.2,56,0,69
028-01,21.2,5.9,64,0,67
028-02,21.3,5.8,66,0,67
029-01,22.6,5.1,73,63,60
029-02,22.6,6.3,73,63,58
030-01,17.6,2.5,59,73,88
030-02,17.6,3.3,47,73,88
031-032-01,17.9,4.9,39,0,86
031-032-02,18.3,5.1,42,0,86
031-032-03,18.6,5.3,44,0,86
033-01,19.8,5,49,0,79
033-02,20.3,4.8,51,0,75
034-01,21.8,5.3,71,63,61
035-01,22.8,7.4,65,0,53
036-01,17.8,1.9,81,66,83
037-01,19.1,2.2,78,66,76
037-02,19.5,2.7,74,66,73
038-01,20.7,4.8,70,0,63
038-02,21.1,5.6,70,0,60
039-01,22.3,3.2,53,73,62
039-02,22.1,2.6,50,73,63
039-03,22.1,3.5,57,73,63
040-01,22.2,6.7,66,73,60
041-01,17.2,2,70,75,88
041-02,17.4,1.8,71,75,88
041-03,17.5,2.6,66,75,87
041-04,17.6,3.6,63,75,87
041-05,17.7,4.4,62,75,86
042-01,22,4.4,72,65,66
042-02,22,3.5,71,65,67
043-01,21.9,4.6,76,65,64
044-01,21.8,6.3,77,0,61
045-01,21.5,5.7,68,0,60
045-02,21.3,5.4,63,0,60
045-03,20.8,5.1,61,0,63
046-01,17.9,4.9,66,75,80
047-01,17.7,5.2,54,0,82
047-02,17.6,5.5,48,0,83
048-01,17.5,5.5,50,0,84
049-01,21.5,4.7,65,66,64
049-02,21.4,5.1,65,0,63
050-01,21.2,5.3,64,0,65
050-02,21.1,5.5,64,0,66
050-03,20.8,5.1,65,0,67
051-01,17.7,2.8,55,36,76
051-02,18.2,2.6,60,36,73
052-01,19.2,3.8,57,36,67
052-02,19.7,5,53,36,64
053-01,20.6,6.7,52,0,58
053-02,20.8,6.5,55,0,57
054-01,21.4,6.4,65,0,54
054-02,21.4,6.4,65,0,54
054-03,21.9,6.8,71,0,52
055-01,22.5,5.3,69,67,56
055-02,22.8,6.5,70,67,53
056-01,22.5,7.2,71,0,50
056-02,22.1,6.8,72,0,50
057-01,18.2,2.4,77,58,78
058-01,18.8,3.1,73,58,74
058-02,19.1,3.7,69,58,72
059-01,19.8,4.3,68,0,68
059-02,20.3,4.3,69,0,65
060-01,NAN,NAN,NAN,NAN,NAN
061-01,15.3,0.5,157,99,77
061-02,15.8,0.5,121,99,75
061-03,16.3,0.7,108,98,74
062-01,18.4,1.5,103,98,68
062-02,19,1.8,99,97,66
062-03,19.6,2.1,96,96,63
063-01,21.1,3.1,75,90,57
063-02,21.8,3.6,73,89,54
063-03,22.4,4.1,70,87,52
064-01,15.7,1,119,92,76
064-02,16.1,1,101,90,75
064-03,16.5,0.8,99,88,73
065-01,17.2,0.2,155,84,70
065-02,17.7,0.4,228,82,69
065-03,18,0.8,244,79,67
066-01,19.5,0.7,304,67,62
066-02,20.1,0.8,325,62,60
066-03,20.6,0.9,350,58,58
067-01,17.6,1,185,51,73
068-01,20,0.6,214,42,66
068-02,20.7,0.3,200,38,63
068-03,21.3,0.1,130,35,61
069-01,22.6,1.4,74,23,56
070-01,17.3,1.6,141,92,75
070-02,17.8,2.7,100,90,79
070-03,17.6,1.5,126,90,74
071-01,18.3,1.7,103,86,72
071-02,19.1,1.9,95,85,68
071-03,19.2,3.8,87,82,72
072-01,22.3,3.2,75,78,56
072-02,21,4.8,81,76,66
073-01,15.7,0.6,133,100,83
073-02,16.7,2.3,3,100,81
074-01,16.7,0.2,309,100,79
074-02,17.5,0.8,5,88,78
074-03,17.5,1,310,100,75
075-01,19.4,1.6,76,99,67
075-02,20.6,3.4,79,99,64
076-01,22.1,3.6,65,97,56
077-01,22.9,4.2,59,96,53
078-01,24.5,6.9,59,65,47
078-02,23.2,5.6,70,65,54
078-03,24.2,6.9,60,60,48
079-01,23.3,5.9,68,61,52
079-02,23.7,6.7,61,55,50
080-01,16.5,0.7,192,90,78
080-02,16.7,1.3,123,89,87
080-03,17.2,0.6,189,87,74
081-01,18.4,0.8,223,82,69
081-02,18.3,0.4,204,76,75
081-03,19.5,0.5,230,72,64
082-01,20.6,0.3,72,61,60
082-02,20.6,1.6,68,56,64
082-03,21.5,0.8,56,50,57
083-01,18.3,0.5,204,92,74
083-02,18.6,0.6,223,91,73
083-03,18.9,0.4,227,89,72
084-01,20.8,0.6,35,85,64
084-02,21.2,1,40,83,63
084-03,21.8,1.3,47,81,61
085-01,24.1,4.1,62,74,53
085-02,23.8,4.1,62,77,55
085-03,23.5,4.2,62,79,56
086-01,22.9,4.1,62,85,58
087-01,17.9,0.5,123,85,80
087-02,18.5,1,215,91,73
087-03,18.6,1,181,82,78
087-04,19.1,0.9,216,92,71
087-05,19.3,0.5,153,86,74
088-01,17.7,0.6,107,100,77
088-02,17.9,0.6,87,100,76
088-03,18.2,0.6,68,100,75
089-01,18.7,0.7,27,100,74
089-02,19.2,0.7,23,100,72
090-01,20.5,0.9,26,100,66
090-02,21,0.8,21,100,64
090-03,21.5,0.8,18,100,63
091-01,20.1,1.5,86,83,68
092-01,21.5,2,91,73,63
093-01,22.1,1.5,88,69,61
093-02,22.1,1.2,81,70,62
093-03,22.1,0.9,69,70,64
094-01,17.9,0.1,15,83,81
094-02,18.1,0.1,60,81,81
094-03,19,0.2,44,82,75
094-04,19.4,0.5,40,83,73
095-01,20.8,1.3,48,90,66
095-02,20.9,1.6,52,92,66
096-01,22,1,54,87,66
096-02,22.5,1.2,59,90,62
097-01,23.1,1.8,55,90,59
098-01,22.6,2.4,74,95,60
099-01,19.7,0.9,184,85,64
100-01,20.7,0.9,172,87,60
101-01,22.2,2.9,39,100,62
101-02,22,3,39,100,63
101-03,21.8,3,43,100,63
102-01,21.6,2.9,54,100,64
102-02,21.3,2.8,61,100,65
103-01,18.1,2.2,235,100,76
103-02,18.4,2.3,233,100,75
103-03,18.8,2.3,231,100,74
104-01,19,1.9,212,100,73
104-02,19.4,1.8,198,100,72
104-03,19.7,1.8,184,100,70
105-01,17.8,2.3,247,100,78
105-02,18.1,2.4,249,100,78
106-01,18.3,2.4,248,100,77
106-02,18.6,2.5,246,100,76
106-03,19,2.6,245,100,75
107-01,19.8,2.7,233,100,73
107-02,20.1,2.7,222,100,71
107-03,20.5,2.9,213,100,70
108-01,20.9,2.4,220,100,68
109-01,21.3,3.3,321,100,66
109-02,21.5,3.1,310,100,66
110-01,17.6,1,251,100,78
110-02,17.9,1.4,255,100,77
110-03,18.1,1.7,257,100,76
110-04,18.3,2,258,100,76
111-01,20.1,2.4,260,100,70
111-02,20.5,2.4,260,100,68
111-03,20.9,2.4,267,100,67
112-01,21.4,2.5,275,100,65
112-02,21.7,2.6,281,100,64
113-01,18.8,1.3,125,100,71
113-02,19.1,1.3,116,100,70
114-01,19.6,1.4,99,100,69
114-02,20,1.4,92,100,68
114-03,20.4,1.5,85,100,67
115-01,17.7,1.3,210,70,88
115-02,18,1.3,212,70,87
115-03,18.4,1.4,214,69,85