observation,flight_num,clip_num,ob_time,flight_time,spp,group_behavior
2,1,1,0,3:24,buf,1.0
2,1,2,7,10:24,buf,2.0
2,1,3,14,17:24,buf,0.0
3,1,1,0,1:47,pz,3.0
3,1,2,7,8:47,pz,0.0
3,1,3,14,15:47,pz,0.0
5,1,1,0,2:44,buf,2.0
5,1,2,7,9:44,buf,1.0
8,1,1,0,1:57,pz,0.0
8,1,2,7,8:57,pz,0.0
8,1,3,14,15:57,pz,0.0
12,1,1,0,2:40,buf,1.0
12,1,2,7,9:40,buf,1.0
12,1,3,14,16:40,buf,1.0
13,1,1,0,1:42,imp,0.0
13,1,2,7,8:42,imp,0.0
14,1,1,0,3:28,imp,1.0
14,1,2,7,10:28,imp,1.0
15,1,1,0,2:45,gz,2.0
15,1,2,7,9:45,gz,2.0
16,1,1,0,2:04,gz,0.0
16,1,2,7,9:04,gz,1.0
16,1,3,14,16:04,gz,0.0
16,1,1,0,2:04,imp,0.0
16,1,2,7,9:04,imp,0.0
16,1,3,14,16:04,imp,0.0
18,1,1,0,0:00,imp,0.0
18,1,2,7,7:00,imp,0.0
19,1,1,0,5:48,pz,3.0
19,1,2,7,12:48,pz,0.0
21,1,1,0,3:23,imp,0.0
21,1,2,7,10:23,imp,0.0
24,1,1,0,2:03,imp,0.0
24,1,2,7,9:03,imp,2.0
25,1,1,0,3:24,pz,1.0
25,1,2,7,10:24,pz,0.0
25,2-Jan,3,14,17:24/1:52,pz,0.0
25,2,4,21,8:52,pz,0.0
25,2,5,28,15:52,pz,0.0
26,1,1,0,1:40,imp,1.0
26,1,2,7,8:40,imp,1.0
26,1,3,14,15:40,imp,0.0
26,2,4,21,6:23,imp,1.0
27,1,1,0,1:35,gz,3.0
27,1,2,7,8:35,gz,3.0
28,1,1,0,2:08,gz,1.0
29,1,1,0,0:00,imp,1.0
29,1,2,7,7:00,imp,0.0
29,1,3,14,14:00,imp,0.0
29,2,4,21,7:04,imp,2.0
30,1,1,0,2:24,imp,0.0
30,1,2,7,9:24,imp,0.0
30,1,3,14,16:24,imp,0.0
30,2,4,21,4:22,imp,0.0
30,2,5,28,11:22,imp,0.0
031-032,1,1,0,3:50,imp,1.0
031-032,1,2,7,10:50,imp,0.0
031-032,1,3,14,17:50,imp,1.0
031-032,2,4,21,6:31,imp,1.0
33,1,1,0,2:46,pz,1.0
33,1,2,7,9:46,pz,2.0
33,2,3,14,3:56,pz,0.0
34,1,1,0,0:42,pz,2.0
34,1,2,7,7:42,pz,2.0
34,1,3,14,14:42,pz,2.0
35,1,1,0,2:18,imp,0.0
35,1,2,7,9:18,imp,0.0
35,1,3,14,16:18,imp,2.0
36,1,1,0,2:20,pz,2.0
36,1,2,7,9:20,pz,1.0
37,1,1,0,5:18,pz,1.0
37,1,2,7,12:18,pz,0.0
38,1,1,0,2:24,imp,1.0
38,1,2,7,9:24,imp,1.0
38,1,3,14,16:24,imp,1.0
38,2,4,21,1:24,imp,1.0
39,1,1,0,2:53,imp,0.0
39,1,2,7,9:53,imp,0.0
39,2,3,14,5:39,imp,0.0
39,2,4,21,12:39,imp,0.0
40,1,1,0,1:41,imp,1.0
40,1,2,7,8:41,imp,0.0
41,1,1,0,2:06,buf,1.0
41,1,2,7,9:06,buf,1.0
41,2-Jan,3,14,16:06/0:15,buf,1.0
41,2,4,21,7:15,buf,1.0
41,2,5,28,14:15,buf,0.0
41,3,6,35,5:26,buf,2.0
41,3,7,42,12:26,buf,1.0
42,1,1,0,1:23,imp,0.0
42,1,2,7,8:23,imp,0.0
42,1,3,14,15:23,imp,1.0
42,2,4,21,4:22,imp,0.0
42,2,5,28,11:22,imp,0.0
43,1,1,0,1:48,gz,2.0
43,1,1,0,1:48,imp,1.0
43,1,2,7,8:48,imp,0.0
43,1,3,14,15:48,imp,0.0
44,1,1,0,3:42,pz,3.0
46,1,1,0,2:07,pz,0.0
46,1,2,7,9:07,pz,3.0
47,1,1,0,1:47,pz,0.0
47,1,2,7,8:47,pz,2.0
47,1,3,14,15:47,pz,1.0
47,2,4,21,6:28,pz,2.0
48,1,1,0,2:30,imp,1.0
48,1,2,7,9:30,imp,2.0
48,1,3,14,16:30,imp,0.0
49,1,1,0,2:16,pz,0.0
49,1,2,7,9:16,pz,0.0
49,1,3,14,16:16,pz,0.0
49,2,4,21,7:30,pz,0.0
49,2,5,28,14:30,pz,0.0
50,1,1,0,1:59,imp,0.0
50,1,2,7,8:59,imp,0.0
50,1,3,14,15:59,imp,0.0
50,2,4,21,7:07,imp,0.0
50,2,5,28,14:07,imp,0.0
50,3,6,35,5:52,imp,0.0
51,1,1,0,4:06,imp,3.0
51,1,2,7,11:06,imp,1.0
52,1,1,0,1:21,imp,1.0
52,1,2,7,8:21,imp,0.0
52,1,3,14,15:21,imp,1.0
52,2,4,21,3:08,imp,0.0
53,1,1,0,1:19,gz,0.0
53,1,2,7,8:19,gz,0.0
53,1,3,14,15:19,gz,0.0
53,2,4,21,3:09,gz,1.0
54,1,1,0,1:45,pz,1.0
55,1,1,0,1:37,imp,0.0
55,1,2,7,8:37,imp,0.0
55,1,3,14,15:37,imp,0.0
55,2,4,21,3:11,imp,0.0
55,2,5,28,10:11,imp,0.0
56,1,1,0,1:53,imp,0.0
56,1,2,7,8:53,imp,0.0
56,1,3,14,15:53,imp,0.0
56,2,4,21,5:54,imp,0.0
57,1,1,0,2:03,imp,1.0
57,1,2,7,9:03,imp,0.0
58,1,1,0,1:34,imp,0.0
58,1,2,7,8:34,imp,0.0
58,1,3,14,15:34,imp,0.0
58,2,4,21,5:44,imp,0.0
59,1,1,0,1:49,imp,0.0
59,1,2,7,8:49,imp,1.0
59,1,3,14,15:49,imp,1.0
59,2,4,21,6:02,imp,1.0
60,1,1,0,2:46,imp,0.0
61,1,1,0,2:03,gz,0.0
61,1,2,7,9:03,gz,0.0
61,1,3,14,16:03,gz,0.0
61,2,4,21,2:49,gz,0.0
61,2,5,28,9:49,gz,0.0
61,3,6,35,3:52,gz,0.0
62,1,1,0,4:23,imp,1.0
62,1,2,7,11:23,imp,0.0
62,2,3,14,0:08,imp,0.0
62,2,4,21,7:08,imp,0.0
62,2,5,28,14:08,imp,1.0
63,1,1,0,5:35,imp,0.0
63,1,2,7,12:35,imp,0.0
63,2,3,14,2:44,imp,0.0
63,2,4,21,9:44,imp,0.0
63,2,5,28,16:44,imp,0.0
63,3,6,35,6:47,imp,0.0
64,1,1,0,2:38,imp,1.0
64,1,2,7,9:38,imp,0.0
64,1,3,14,16:38,imp,0.0
64,2,4,21,7:05,imp,0.0
64,3,5,28,1:37,imp,0.0
65,1,1,0,3:43,imp,0.0
65,1,2,7,10:43,imp,0.0
65,2,3,14,4:03,imp,0.0
65,2,4,21,11:03,imp,0.0
65,3,5,28,5:21,imp,0.0
66,1,1,0,4:06,gz,2.0
66,1,2,7,11:06,gz,2.0
66,2,3,14,2:23,gz,0.0
66,2,4,21,9:23,gz,0.0
66,3,5,28,1:37,gz,2.0
68,1,1,0,3:04,imp,1.0
68,1,2,7,10:04,imp,1.0
68,2,3,14,1:10,imp,0.0
68,2,4,21,8:10,imp,1.0
68,2,5,28,15:10,imp,0.0
68,3,6,35,6:46,imp,0.0
69,1,1,0,1:50,imp,0.0
69,1,2,7,8:50,imp,3.0
70,1,1,0,6:42,pz,0.0
70,1,2,7,13:42,pz,0.0
70,2,3,14,6:18,pz,0.0
70,3,4,21,1:39,pz,0.0
71,1,1,0,1:08,imp,0.0
71,1,2,7,8:08,imp,0.0
71,1,3,14,15:08,imp,0.0
71,2,4,21,4:22,imp,0.0
71,2,5,28,11:22,imp,0.0
71,3,6,35,2:24,imp,0.0
72,1,1,0,2:13,imp,0.0
72,1,2,7,9:13,imp,1.0
72,1,3,14,16:13,imp,0.0
73,1,1,0,1:08,imp,0.0
73,1,2,7,8:08,imp,0.0
73,1,3,14,15:08,imp,0.0
74,1,1,0,0:00,gz,0.0
74,1,2,7,7:00,gz,0.0
74,1,3,14,14:00,gz,0.0
74,2,4,21,6:53,gz,0.0
74,2,5,28,13:53,gz,0.0
74,3,6,35,4:22,gz,0.0
75,1,1,0,3:09,imp,0.0
75,1,2,7,10:09,imp,0.0
75,2,3,14,0:44,imp,0.0
75,2,4,21,7:44,imp,0.0
76,1,1,0,3:10,pz,3.0
77,1,1,0,1:32,buf,3.0
77,1,2,7,8:32,buf,1.0
78,1,1,0,2:30,buf,2.0
78,1,2,7,9:30,buf,3.0
79,1,1,0,1:37,buf,1.0
79,1,2,7,8:37,buf,3.0
79,2,3,14,1:47,buf,2.0
80,1,1,0,1:23,imp,0.0
80,1,2,7,8:23,imp,0.0
80,2,3,14,0:48,imp,0.0
80,2,4,21,7:48,imp,0.0
80,3-Feb,5,28,14:48/0,imp,1.0
80,3,6,35,6:25,imp,0.0
80,3,7,42,13:25,imp,2.0
81,1,1,0,2:23,pz,1.0
81,1,3,14,16:23,pz,
81,2,4,21,5:42,pz,
81,2,5,28,12:42,pz,
81,3,6,35,2:28,pz,
81,3,7,42,9:28,pz,
82,1,1,0,3:07,pz,1.0
82,1,2,7,10:07,pz,1.0
83,1,1,0,1:07,gz,1.0
83,1,2,7,8:07,gz,0.0
83,1,3,14,15:07,gz,0.0
83,2,4,21,7:03,gz,2.0
83,2,5,28,14:03,gz,1.0
83,3,6,35,5:20,gz,0.0
84,1,1,0,6:37,imp,0.0
84,1,2,7,13:37,imp,0.0
84,2,3,14,5:11,imp,0.0
84,2,4,21,12:11,imp,0.0
84,3,5,28,2:51,imp,0.0
85,1,1,0,2:21,buf,1.0
85,1,2,7,9:21,buf,0.0
85,1,3,14,16:21,buf,0.0
85,2,4,21,5:18,buf,0.0
85,2,5,28,12:18,buf,0.0
85,3,6,35,0:44,buf,0.0
85,3,7,42,7:44,buf,0.0
85,3,8,49,14:44,buf,0.0
86,1,1,0,1:18,gz,0.0
86,1,1,0,1:18,imp,0.0
87,1,1,0,2:20,gz,0.0
87,1,2,7,9:20,gz,0.0
87,1,3,14,16:20,gz,0.0
88,1,1,0,1:51,gz,0.0
88,1,2,7,8:51,gz,0.0
88,1,3,14,15:51,gz,0.0
88,2,4,21,6:17,gz,0.0
88,2,5,28,13:17,gz,0.0
88,3,6,35,3:38,gz,0.0
89,1,1,0,1:54,imp,0.0
89,1,2,7,8:54,imp,0.0
90,1,1,0,4:57,gz,2.0
90,1,2,7,11:57,gz,0.0
90,2,3,14,1:22,gz,0.0
90,2,4,21,8:22,gz,2.0
90,3,5,28,0:47,gz,0.0
91,1,1,0,2:29,buf,2.0
91,1,2,7,9:29,buf,0.0
91,1,3,14,16:29,buf,0.0
91,1,1,0,2:29,pz,0.0
91,1,2,7,9:29,pz,0.0
91,1,3,14,16:29,pz,1.0
92,1,1,0,3:29,pz,3.0
92,1,2,7,10:29,pz,2.0
93,1,1,0,2:34,pz,0.0
93,1,2,7,9:34,pz,2.0
93,2,3,14,2:06,pz,0.0
93,2,4,21,9:06,pz,0.0
93,3,5,28,1:12,pz,0.0
94,1,1,0,2:18,buf,1.0
94,1,2,7,9:18,buf,1.0
94,2,3,14,2:09,buf,0.0
94,2,4,21,9:09,buf,2.0
94,2,5,28,16:09,buf,0.0
95,1,1,0,1:53,pz,1.0
95,1,2,7,8:53,pz,1.0
95,2,3,14,2:23,pz,2.0
96,1,1,0,2:16,imp,0.0
96,1,2,7,9:16,imp,2.0
96,2,3,14,4:02,imp,0.0
96,2,4,21,11:02,imp,0.0
97,1,1,0,2:50,buf,3.0
97,1,2,7,9:50,buf,3.0
98,1,1,0,1:45,buf,2.0
98,1,2,7,8:45,buf,2.0
100,1,1,0,2:20,pz,2.0
100,1,2,7,9:20,pz,2.0
101,1,1,0,4:05,pz,0.0
101,1,2,7,11:05,pz,0.0
101,1,1,0,4:05,imp,0.0
101,1,2,7,11:05,imp,0.0
101,1,3,14,18:05,imp,0.0
102,1,1,0,2:25,pz,3.0
102,1,2,7,9:25,pz,3.0
102,1,3,14,16:25,pz,2.0
103,1,1,0,2:27,imp,0.0
103,1,2,7,9:27,imp,0.0
103,2,3,14,2:24,imp,0.0
103,2,4,21,9:24,imp,0.0
103,3-Feb,5,28,16:24/0:12,imp,0.0
104,1,1,0,2:09,pz,2.0
104,1,2,7,9:09,pz,0.0
104,2-Jan,3,14,16:09,pz,2.0
104,2,4,21,0:00/6:59,pz,0.0
104,3,5,28,3:08,pz,0.0
104,3,6,35,10:08,pz,0.0
105,1,1,0,2:16,buf,1.0
105,1,2,7,9:16,buf,1.0
105,1,3,14,16:16,buf,0.0
105,2,4,21,6:55,buf,0.0
105,2,5,28,13:55,buf,0.0
106,1,1,0,2:58,imp,0.0
106,1,2,7,9:58,imp,0.0
106,2,3,14,2:47,imp,0.0
106,2,4,21,9:47,imp,0.0
107,1,1,0,4:54,imp,0.0
107,1,2,7,11:54,imp,0.0
107,2,3,14,3:12,imp,0.0
107,2,4,21,10:12,imp,0.0
107,3,5,28,1:41,imp,0.0
108,1,1,0,2:58,gz,0.0
108,1,2,7,9:58,gz,2.0
109,1,1,0,2:58,pz,0.0
109,1,2,7,9:58,pz,0.0
110,1,1,0,2:38,gz,0.0
110,1,2,7,9:38,gz,0.0
110,1,1,0,2:38,pz,1.0
110,1,2,7,9:38,pz,0.0
111,1,1,0,1:27,imp,2.0
111,1,2,7,8:27,imp,0.0
111,1,3,14,15:27,imp,0.0
111,2,4,21,6:18,imp,0.0
111,2,5,28,13:18,imp,0.0
111,3,6,35,2:49,imp,0.0
112,1,1,0,2:19,imp,0.0
112,1,2,7,9:19,imp,0.0
112,2,3,14,2:59,imp,0.0
112,2,4,21,9:59,imp,1.0
112,2,5,28,16:59,imp,0.0
113,1,1,0,0:57,imp,0.0
113,1,2,7,7:57,imp,0.0
113,2-Jan,3,14,14:57,imp,0.0
114,1,1,0,3:23,gz,0.0
114,1,2,7,10:23,gz,0.0
114,2,3,14,1:39,gz,0.0
114,2,4,21,8:39,gz,0.0
114,3-Feb,5,28,15:39/0:22,gz,0.0
114,3,6,35,7:22,gz,0.0
114,1,1,0,3:23,imp,0.0
114,1,2,7,10:23,imp,0.0
114,2,3,14,1:39,imp,0.0
114,2,4,21,8:39,imp,0.0
114,3-Feb,5,28,15:39/0:22,imp,0.0
114,3,6,35,7:22,imp,0.0
115,1,1,0,3:41,gz,0.0
115,1,2,7,10:41,gz,0.0
115,1,1,0,3:41,pz,0.0
115,1,2,7,10:41,pz,0.0
115,2,3,14,4:09,pz,0.0
115,2,4,21,11:09,pz,0.0
115,3,5,28,4:38,pz,0.0
115,3,6,35,11:38,pz,2.0
