flight,obs_ascent,launch_dist,clip1_start,clip1_end,ascent_start,ascent_end,approach_start,approach_end,proximity_start,proximity_end,approach_speed_mean,approach_speed_max,approach_duration_minutes,exchange_duration,takeoff_time,landing_time
001-01,87.8000028096,310.30815071691956,238100.0,358100.0,6000.0,47500.0,47500.0,238100.0,222900.0,358100.0,8.00990398675056,31.2047741658928,3.1766666666666667,,04:29:18,04:49:31
002-01,88.3000028256,408.5732467272283,185700.0,305700.0,6000.0,70500.0,70500.0,185700.0,159100.0,305700.0,14.229841186490471,37.421969018742,1.92,,04:58:29,05:21:09
003-01,86.500002768,214.37721471584953,96850.0,216850.0,4800.0,45300.0,45300.0,96850.0,88100.0,216850.0,19.65450013449425,46.3391616362912,0.8591666666666666,,05:24:49,05:47:05
004-01,74.9000023968,260.9694495910815,624300.0,744300.0,24500.0,53600.0,53600.0,624300.0,471000.0,744300.0,10.90509155720617,48.1283601550324,9.511666666666667,,06:02:04,06:22:56
005-01,80.9000025888,482.32837766963587,146600.0,266600.0,9900.0,40300.0,40300.0,146600.0,132400.0,266600.0,22.00152551140215,45.6731621876652,1.7716666666666667,,06:29:59,06:48:50
006-01,86.7000027744,411.94679737690115,136900.0,256900.0,11200.0,40000.0,40000.0,136900.0,108000.0,256900.0,17.016459134008215,41.867965337948,1.615,,06:50:23,07:11:54
007-01,86.3000027616,280.7789796716511,146450.0,266450.0,11600.0,48300.0,48300.0,146450.0,127600.0,266450.0,12.6998727848768,27.9611768512332,1.6358333333333333,,07:20:02,07:41:08
008-01,85.4000027328,265.8837356917176,104566.66666666667,224566.6666666667,9800.0,58700.0,58700.0,104566.66666666667,85500.0,224566.6666666667,21.475641908735955,42.7967645690048,0.7644444444444445,,04:40:25,05:00:26
009-01,88.50000283199999,315.9647166241711,118150.0,238150.0,8400.0,53900.0,53900.0,118150.0,109700.0,238150.0,18.270794443177756,43.1711642590432,1.0708333333333333,,05:09:16,05:32:08
010-01,100.0000032,456.70847335180474,216250.0,336250.0,15000.0,51200.0,51200.0,216250.0,206900.0,336250.0,10.604677754163685,43.7867637493948,2.7508333333333335,,05:39:47,06:01:53
011-01,98.8000031616,242.26833764261957,150800.0,270800.0,7100.0,42600.0,42600.0,150800.0,132100.0,270800.0,8.371230882334848,15.7175869875736,1.8033333333333332,,06:16:25,06:37:00
012-01,100.1000032032,365.1474851580603,163200.0,283200.0,10600.0,44100.0,44100.0,163200.0,102000.0,283200.0,11.84020834829988,30.761974532482,1.985,,06:45:31,07:06:23
013-01,85.4000027328,156.93976042059177,179450.0,299450.0,3300.0,37400.0,37400.0,179450.0,134900.0,299450.0,7.1500188140494485,38.0447685031328,2.3675,,07:36:31,07:55:11
014-01,85.9000027488,232.5059651715373,205950.0,325950.0,3000.0,48400.0,48400.0,205950.0,187800.0,325950.0,6.379266904958631,17.6723853692164,2.6258333333333335,,08:09:18,08:28:23
015-01,89.20000285440001,331.0464668324625,169600.0,289600.0,12600.0,50200.0,50200.0,169600.0,163700.0,289600.0,16.550535151000638,35.945970240706,1.99,,08:56:50,09:15:19
016-01,85.500002736,216.47925505284132,122366.66666666667,242366.6666666667,3700.0,44000.0,44000.0,122366.66666666667,92600.0,242366.6666666667,12.088980936031293,43.4231640504152,1.3061111111111112,,12:56:18,13:15:48
017-01,74.4000023808,265.34081485967585,517000.0,637000.0,8300.0,65000.0,65000.0,517000.0,512200.0,637000.0,17.045929322196262,48.0635602086796,7.533333333333333,,06:10:55,06:21:19
018-01,75.8000024256,198.38441458352636,77400.0,197400.0,3900.0,31600.0,31600.0,77400.0,46200.0,197400.0,15.929837140081482,42.5735647537896,0.7633333333333333,,06:34:37,06:55:39
019-01,86.60000277120001,217.94126461214202,354250.0,474250.0,10500.0,41500.0,41500.0,354250.0,348100.0,474250.0,14.95942281524981,47.951960301072,5.2125,,07:05:18,07:27:36
021-01,75.8000024256,450.2507273099915,180000.0,300000.0,6500.0,39500.0,39500.0,180000.0,142400.0,300000.0,14.596289214585633,33.1595725475356,2.341666666666667,,08:30:47,08:51:24
022-01,76.000002432,541.8148509059765,122800.0,242800.0,2800.0,46400.0,46400.0,122800.0,107600.0,242800.0,27.154405105358013,43.1711642590432,1.2733333333333334,,11:46:12,12:08:20
023-01,75.90000242880001,281.34871920199396,142850.0,262850.0,2400.0,23400.0,23400.0,142850.0,103200.0,262850.0,11.31880695580834,41.003966053244,1.9908333333333332,,12:34:48,12:56:00
024-01,74.6000023872,503.63459449272807,121500.0,241500.0,4000.0,34200.0,34200.0,121500.0,111200.0,241500.0,21.66806737591824,28.4615764369576,1.455,,13:20:19,13:38:23
025-01,85.4000027328,418.42560417898756,201400.0,321400.0,5900.0,53300.0,53300.0,201400.0,187400.0,321400.0,14.30290824216263,35.1431709053352,2.4683333333333333,,05:47:21,06:07:47
025-02,85.9000027488,485.92629872899556,216800.0,336800.0,3800.0,44900.0,44900.0,216800.0,98300.0,336800.0,11.383806733454318,43.5491639461012,2.865,86500.0,06:02:53,06:23:58
025-03,98.9000031648,601.3618427518376,263400.0,383400.0,8300.0,47400.0,47400.0,263400.0,156000.0,383400.0,15.056084306111499,48.1175601639736,3.6,,06:17:56,06:37:46
026-01,74.50000238400001,191.44579980953344,98400.0,218400.0,2400.0,37800.0,37800.0,98400.0,75300.0,218400.0,14.12901355190642,42.5771647508092,1.01,,06:54:22,07:14:04
026-02,75.7000024224,150.91944824313677,167600.0,287600.0,9800.0,53000.0,53000.0,167600.0,73600.0,287600.0,4.496750431914992,24.7175795365736,1.91,67300.0,07:10:39,00:00:00
027-01,75.500002416,303.5662144786533,91450.0,211450.0,3400.0,53200.0,53200.0,91450.0,86800.0,211450.0,28.318757657557985,43.6211638864932,0.6375,,08:00:55,08:13:28
028-01,78.70000251840001,294.71307030351227,125350.0,245350.0,3000.0,42800.0,42800.0,125350.0,113000.0,245350.0,14.06588971134674,33.7715720408676,1.3758333333333332,,08:25:34,08:35:21
028-02,75.60000241920001,276.26891083552897,307250.0,427250.0,3500.0,36900.0,36900.0,307250.0,57000.0,427250.0,3.9320361942495134,45.7703621071944,4.505833333333333,,08:32:27,00:00:00
029-01,75.90000242880001,271.9182849995392,99650.0,219650.0,4800.0,32200.0,32200.0,99650.0,69900.0,219650.0,15.910451692767788,36.007170190039204,1.1241666666666668,,12:33:15,12:52:55
029-02,75.8000024256,244.7816112846858,191833.33333333334,311833.3333333334,3700.0,45000.0,45000.0,191833.33333333334,64900.0,311833.3333333334,1.4175936107420883,48.502759845070806,2.4472222222222224,92733.33333333334,12:48:54,00:00:00
030-01,75.60000241920001,240.73322130864761,147600.0,267600.0,11500.0,45900.0,45900.0,147600.0,75900.0,267600.0,18.409971293230168,41.0975659757536,1.695,,06:12:26,06:34:29
030-02,75.8000024256,223.57035775099268,145200.0,265200.0,3700.0,73400.0,73400.0,145200.0,88200.0,265200.0,11.505744760228154,49.4495590612256,1.1966666666666668,50300.0,06:30:50,06:51:27
031-032-01,74.9000023968,215.7894530445886,232366.66666666666,352366.6666666666,9600.0,45700.0,45700.0,232366.66666666666,127700.0,352366.6666666666,11.96325752618572,29.9627751941308,3.111111111111111,,07:15:53,07:37:13
031-032-02,86.000002752,208.77917175379238,106850.0,226850.0,5600.0,34400.0,34400.0,106850.0,48500.0,226850.0,12.060799741433406,48.6251597437372,1.2075,55150.0,07:34:08,07:55:36
031-032-03,84.10000269119999,195.25044800931605,76633.33333333333,196633.3333333333,4400.0,29800.0,29800.0,76633.33333333333,58500.0,196633.3333333333,16.266083476710513,27.4751772535872,0.7805555555555554,,07:45:39,07:56:46
033-01,85.1000027232,340.1478196525287,165450.0,285450.0,12800.0,67100.0,67100.0,165450.0,158300.0,285450.0,17.93683097071808,46.4003615856244,1.6391666666666667,,08:25:18,08:41:46
033-02,85.30000272960001,463.2983388386289,159050.0,279050.0,5800.0,31500.0,31500.0,159050.0,65000.0,279050.0,15.604254102677311,48.9707594576188,2.1258333333333335,54050.0,08:37:58,08:53:42
034-01,74.20000237440001,463.4766789948191,203300.0,323300.0,30100.0,58400.0,58400.0,203300.0,186000.0,323300.0,14.37530516447179,46.7531612935452,2.415,,12:32:24,12:55:06
035-01,75.4000024128,374.7626079522623,151500.0,271500.0,17400.0,45400.0,45400.0,151500.0,141800.0,271500.0,15.190042125177191,32.0795734416556,1.7683333333333333,,13:10:22,13:31:20
036-01,83.9000026848,395.2237339236281,144300.0,264300.0,7700.0,43200.0,43200.0,144300.0,115900.0,264300.0,21.395867713719866,43.937963624218,1.685,,05:39:28,05:59:45
037-01,85.7000027424,447.49469990265214,342300.0,462300.0,5500.0,86500.0,86500.0,342300.0,302200.0,462300.0,10.037773770988839,41.7815654094776,4.263333333333334,,06:26:44,06:46:44
037-02,85.1000027232,483.1570625793398,233800.0,353800.0,5800.0,35500.0,35500.0,233800.0,107500.0,353800.0,11.195301736311102,29.624375474288403,3.305,107200.0,06:41:22,07:02:00
038-01,50.6000016192,254.60863948068007,142100.0,262100.0,5500.0,35200.0,35200.0,142100.0,125000.0,262100.0,12.259049679920409,34.3871715312192,1.7816666666666667,,07:39:09,08:02:46
038-02,50.7000016224,263.6171050058464,180000.0,300000.0,5000.0,29100.0,29100.0,180000.0,103600.0,300000.0,10.333552610008073,35.657970479138,2.515,,07:58:50,08:16:45
039-01,74.9000023968,561.6617214156942,175150.0,295150.0,5900.0,26600.0,26600.0,175150.0,160800.0,295150.0,16.30284751535441,43.6715638447676,2.4758333333333336,,11:49:52,12:06:19
039-02,65.60000209920001,555.461553984925,233800.0,353800.0,5900.0,47100.0,47100.0,233800.0,105200.0,353800.0,13.84273118125661,38.9411677610132,3.111666666666667,46800.0,12:01:15,12:20:34
039-03,65.60000209920001,555.131766000134,238200.0,358200.0,7000.0,45100.0,45100.0,238200.0,148900.0,358200.0,12.621711140020913,37.0655693138016,3.2183333333333333,85900.0,12:14:53,12:29:10
040-01,75.4000024128,211.23862713920445,103800.0,223800.0,7800.0,49500.0,49500.0,103800.0,89600.0,223800.0,16.165719200839273,37.0295693436056,0.905,,12:58:46,13:17:32
041-01,85.500002736,309.53462011815225,128200.0,248200.0,7600.0,35500.0,35500.0,128200.0,108700.0,248200.0,14.996381012910996,42.2603650130844,1.545,,05:49:32,06:09:04
041-02,105.8000033856,328.37568272686326,122850.0,242850.0,3300.0,46200.0,46200.0,122850.0,82800.0,242850.0,15.7154330996821,49.0823593652264,1.2775,44750.0,06:05:21,06:25:37
041-03,105.500003376,313.7641899545674,181000.0,301000.0,3800.0,43800.0,43800.0,181000.0,92200.0,301000.0,9.377931327827037,33.1523725534964,2.2866666666666666,77300.0,06:21:07,06:41:48
041-04,105.8000033856,126.38317161281837,208550.0,328550.0,3700.0,32600.0,32600.0,208550.0,48800.0,328550.0,3.442986143895068,19.6415837389376,2.9325,,06:38:31,06:57:10
041-05,115.500003696,122.58459001002643,133100.0,253100.0,8300.0,40800.0,40800.0,133100.0,73300.0,253100.0,5.6767060695449985,22.4747813933628,1.5383333333333333,59500.0,06:53:50,07:08:16
042-01,75.60000241920001,188.27736764693464,82500.0,202500.0,5600.0,28300.0,28300.0,82500.0,55000.0,202500.0,13.317202308160384,31.9571735429892,0.9033333333333333,,11:35:16,11:56:16
042-02,75.2000024064,273.2894924003641,118850.0,238850.0,3800.0,27200.0,27200.0,118850.0,45700.0,238850.0,12.504636235777323,49.1291593264812,1.5275,49950.0,11:53:17,12:14:37
043-01,84.500002704,280.3874078520557,119200.0,239200.0,14300.0,42200.0,42200.0,119200.0,80300.0,239200.0,14.255401496667563,37.0043693644684,1.2833333333333334,,12:27:30,12:49:26
044-01,85.500002736,392.1844844573777,208133.33333333334,328133.3333333334,4100.0,35200.0,35200.0,208133.33333333334,194900.0,328133.3333333334,11.507412462661991,34.1027717666708,2.8822222222222225,,13:11:38,13:24:17
045-01,85.4000027328,569.2893698970443,189150.0,309150.0,4200.0,28600.0,28600.0,189150.0,169200.0,309150.0,14.564946222490269,42.6707646733188,2.6758333333333333,,13:47:01,14:06:40
045-02,90.4000028928,616.6355894335121,175950.0,295950.0,4700.0,45200.0,45200.0,175950.0,96200.0,295950.0,17.440918331115817,48.6467597258548,2.1791666666666667,45550.0,14:02:19,14:22:01
045-03,102.3000032736,541.4730071870746,125900.0,245900.0,2500.0,25700.0,25700.0,125900.0,72900.0,245900.0,22.028231602628914,47.357960792838,1.67,57900.0,14:17:50,14:38:52
046-01,85.1000027232,341.7028090901037,125600.0,245600.0,3300.0,47800.0,47800.0,125600.0,103800.0,245600.0,20.729906075524795,43.811963728532,1.2966666666666666,,06:58:10,07:18:05
047-01,99.6000031872,301.5640312368397,104900.0,224900.0,3900.0,32600.0,32600.0,104900.0,96100.0,224900.0,19.007548052149968,48.3875599404436,1.205,,07:28:41,07:49:24
047-02,100.40000321280002,544.3462324908558,173300.0,293300.0,3900.0,34800.0,34800.0,173300.0,77400.0,293300.0,16.050404987645006,47.591960599112,2.308333333333333,79500.0,07:44:58,08:07:46
048-01,75.8000024256,310.7618988725229,147200.0,267200.0,5000.0,30500.0,30500.0,147200.0,124600.0,267200.0,12.586839009811486,32.8463728068304,1.945,,08:25:55,08:47:28
049-01,94.7000030304,584.9527334346622,134300.0,254300.0,3300.0,41900.0,41900.0,134300.0,103900.0,254300.0,25.655306604226134,40.7591662559112,1.54,,12:53:42,13:14:53
049-02,95.6000030592,603.0990112170481,288750.0,408750.0,3600.0,33600.0,33600.0,288750.0,111600.0,408750.0,10.127017287589759,35.999970196,4.2525,84650.0,13:09:31,13:30:32
050-01,85.7000027424,616.5449684690076,116750.0,236750.0,4000.0,28300.0,28300.0,116750.0,89000.0,236750.0,25.9080332830504,40.1831667327752,1.4741666666666666,,13:39:44,14:01:05
050-02,75.4000024128,606.8228617678972,270650.0,390650.0,3100.0,36800.0,36800.0,270650.0,151400.0,390650.0,14.163902815029,40.946366100930405,3.8975,55950.0,13:55:34,14:15:32
050-03,75.4000024128,712.3765440703041,190000.0,310000.0,5400.0,35800.0,35800.0,190000.0,101500.0,310000.0,17.689171928745555,41.4431656896352,2.57,58600.0,14:10:52,14:29:19
051-01,75.7000024224,481.7046628467899,242650.0,362650.0,3800.0,35100.0,35100.0,242650.0,224600.0,362650.0,14.132095527248495,45.413962402254,3.4591666666666665,,05:34:31,05:53:52
051-02,85.1000027232,704.6094737615903,205800.0,325800.0,3000.0,31900.0,31900.0,205800.0,119100.0,325800.0,16.66850456227394,47.3291608166812,2.8983333333333334,80100.0,05:48:20,06:05:13
052-01,75.500002416,333.7734668935753,79250.0,199250.0,4600.0,31500.0,31500.0,79250.0,69300.0,199250.0,25.92000147103732,47.7251604888372,0.7958333333333333,,06:18:32,06:39:25
052-02,75.3000024096,336.8693449869271,146850.0,266850.0,4300.0,34600.0,34600.0,146850.0,92200.0,266850.0,15.130285696432196,46.25996170186,1.8708333333333333,43750.0,06:35:37,06:54:35
053-01,96.8000030976,213.04051959397015,76800.0,196800.0,2700.0,35900.0,35900.0,76800.0,53000.0,196800.0,21.59795545261119,48.1427601431108,0.6816666666666666,,07:14:23,07:36:57
053-02,95.90000306880002,235.89004220902632,119050.0,239050.0,4700.0,34400.0,34400.0,119050.0,62200.0,239050.0,11.248534666513015,32.3315732330276,1.4108333333333334,47350.0,07:33:33,07:52:49
054-03,105.7000033824,337.24195806917817,194900.0,314900.0,5000.0,52500.0,52500.0,194900.0,140800.0,314900.0,20.40314910684172,46.4003615856244,2.3733333333333335,,08:54:18,09:12:47
055-01,75.3000024096,199.2576894340009,95100.0,215100.0,6400.0,34100.0,34100.0,95100.0,62800.0,215100.0,14.625621948361342,35.297970777178,1.0166666666666666,,12:22:49,12:45:59
055-02,85.1000027232,230.45520715816508,162200.0,282200.0,3300.0,31000.0,31000.0,162200.0,55200.0,282200.0,10.96872342299626,43.811963728532,2.1866666666666665,90500.0,12:42:12,13:03:32
056-01,86.000002752,518.752857671765,109666.66666666667,229666.6666666667,3700.0,35900.0,35900.0,109666.66666666667,87200.0,229666.6666666667,26.90569130530559,43.7975637404536,1.2294444444444446,,13:23:18,13:44:35
056-02,95.40000305280002,542.641902916376,159966.66666666666,279966.6666666666,3900.0,30700.0,30700.0,159966.66666666666,79600.0,279966.6666666666,17.044036018175643,41.8355653647716,2.154444444444444,59666.66666666667,13:40:15,14:01:18
057-01,65.60000209920001,350.3775077843614,122050.0,242050.0,6100.0,40200.0,40200.0,122050.0,92400.0,242050.0,17.144221968839,26.72997787053,1.3641666666666667,,05:49:38,06:09:25
058-01,75.8000024256,222.10877994717202,91250.0,211250.0,3400.0,36500.0,36500.0,91250.0,69500.0,211250.0,17.83931537807561,44.5355631294716,0.9125,,06:29:03,06:48:52
058-02,74.9000023968,203.39923642896304,109300.0,229300.0,2800.0,32400.0,32400.0,109300.0,50200.0,229300.0,11.425852609621264,45.035962715196,1.2816666666666667,53100.0,06:45:52,07:04:32
059-01,75.2000024064,311.37694780256834,105950.0,225950.0,4400.0,26800.0,26800.0,105950.0,90600.0,225950.0,14.555728076853013,33.2495724730256,1.3191666666666666,,07:16:05,07:36:15
059-02,85.4000027328,280.65708011618995,117350.0,237350.0,3700.0,24100.0,24100.0,117350.0,56100.0,237350.0,11.982944473216056,47.5415606408376,1.5541666666666667,56550.0,07:32:53,
061-01,80.500002576,257.3496380982729,120333.33333333333,240333.3333333333,5400.0,51900.0,51900.0,120333.33333333333,103500.0,240333.3333333333,14.500182685715417,19.367983965448,1.1405555555555555,,04:37:10,04:59:01
061-02,84.4000027008,336.7730926504458,141300.0,261300.0,4900.0,61700.0,61700.0,141300.0,90200.0,261300.0,16.46617917357733,46.403961582644,1.3266666666666667,57500.0,04:55:05,05:14:09
061-03,75.2000024064,324.55539429801667,144350.0,264350.0,4600.0,29800.0,29800.0,144350.0,58000.0,264350.0,12.611175627166858,47.807960420288005,1.9091666666666667,80950.0,05:10:21,05:32:19
062-01,75.60000241920001,278.2691209835083,260500.0,380500.0,6800.0,86100.0,86100.0,260500.0,221300.0,380500.0,7.586983290078671,31.391974010912,2.9066666666666667,,06:05:44,06:25:44
062-02,75.4000024128,321.49008605416344,142300.0,262300.0,4500.0,27400.0,27400.0,142300.0,53600.0,262300.0,10.338181642856306,47.411960748132,1.915,76000.0,06:21:57,06:42:07
062-03,76.000002432,339.3424505124529,201700.0,321700.0,4800.0,61300.0,61300.0,201700.0,110900.0,321700.0,10.430589011682928,43.703963817944,2.34,81400.0,06:37:16,06:45:22
063-01,65.40000209280001,311.79840617346247,341300.0,461300.0,9400.0,39900.0,39900.0,341300.0,317700.0,461300.0,9.627512190773354,45.647962208528,5.023333333333333,,07:28:26,07:49:59
063-02,65.60000209920001,311.50341699427014,199400.0,319400.0,4600.0,35900.0,35900.0,199400.0,62300.0,319400.0,9.242316262924419,47.303960837544,2.725,125700.0,07:45:23,08:06:00
063-03,65.60000209920001,309.47700455925775,161450.0,281450.0,5500.0,30200.0,30200.0,161450.0,55500.0,281450.0,8.38511305805232,52.451956575572,2.1875,92250.0,08:02:10,08:22:39
064-01,65.40000209280001,514.1279196849326,142650.0,262650.0,4900.0,29500.0,29500.0,142650.0,127400.0,262650.0,17.901360860230742,40.571966410892,1.8858333333333333,,04:39:42,05:01:05
064-02,65.8000021056,522.002775928031,290500.0,410500.0,6000.0,28100.0,28100.0,290500.0,123900.0,410500.0,9.863223311945944,47.303960837544,4.373333333333333,145200.0,04:54:48,05:13:24
064-03,65.60000209920001,524.3417315963352,196250.0,316250.0,4300.0,35400.0,35400.0,196250.0,96100.0,316250.0,12.370738502113161,46.115961821076,2.680833333333333,88850.0,05:08:28,05:29:14
065-01,66.20000211840001,483.34605129719955,243900.0,363900.0,14800.0,63300.0,63300.0,243900.0,206500.0,363900.0,12.728757138762349,38.87996781168,3.01,,05:31:03,05:49:48
065-02,65.7000021024,485.1695516722125,212400.0,332400.0,5900.0,40900.0,40900.0,212400.0,116000.0,332400.0,10.306478423895705,47.87996036068,2.8583333333333334,82900.0,05:44:46,06:02:01
065-03,65.500002096,485.2692779982173,164550.0,284550.0,5000.0,33700.0,33700.0,164550.0,89600.0,284550.0,14.034466908618532,48.41995991362,2.180833333333333,65050.0,05:57:37,06:17:07
066-01,80.30000256960001,323.0697409040608,253500.0,373500.0,12200.0,61400.0,61400.0,253500.0,229500.0,373500.0,8.427653718302265,26.531978034452003,3.2016666666666667,,06:37:33,06:57:45
066-02,80.6000025792,528.1097012700869,168000.0,288000.0,4800.0,30800.0,30800.0,168000.0,68700.0,288000.0,14.308959179603692,49.535958989696,2.2866666666666666,80200.0,06:53:20,07:12:25
066-03,81.000002592,519.5604764757891,286500.0,406500.0,6400.0,36500.0,36500.0,286500.0,234200.0,406500.0,9.740701613194044,42.731964622652,4.166666666666667,139400.0,07:06:52,07:28:13
067-01,75.7000024224,228.47860654814528,92800.0,212800.0,6700.0,53200.0,53200.0,92800.0,72200.0,212800.0,22.046638236367677,44.45996319206,0.66,,05:19:37,05:35:36
068-01,75.0000024,326.5922218414438,192800.0,312800.0,6400.0,53000.0,53000.0,192800.0,160700.0,312800.0,9.234771575408113,35.711970434432004,2.33,,06:10:51,06:30:45
068-02,75.8000024256,325.5341324538744,151166.66666666666,271166.6666666666,6400.0,39600.0,39600.0,151166.66666666666,71400.0,271166.6666666666,10.768128609736547,38.555968079916,1.8594444444444442,63666.66666666667,06:26:58,06:47:31
