,observation,species,exchange_num,clip_type,start_flight,start_timestamp,end_flight,end_timestamp,any_resting,any_foraging,any_alert,any_traveling,any_fleeing,group_resting,group_foraging,group_alert,group_traveling,group_fleeing
,ob025,pz,ob025-1,exchange,1,15:40,2,5:03,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob029,imp,ob029-1,exchange,1,14:03,2,4:09,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
,ob031,imp,ob031-1,exchange,1,18:24,2,3:09,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
,ob033,pz,ob033-1,exchange,1,12:54,2,3:53,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
,ob039,imp,ob039-1,exchange,1,11:26,2,5:10,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob039,imp,ob039-2,exchange,2,13:50,3,5:45,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob041,buf,ob041-1,exchange,1,15:54,2,3:49,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
,ob041,buf,ob041-2,exchange,2,15:51,3,4:32,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
,ob042,imp,ob042-1,exchange,1,18:09,2,3:06,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob047,pz,ob047-1,exchange,1,16:25,2,4:29,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob049,pz,ob049-1,exchange,1,15:56,2,5:30,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob050,imp,ob050-1,exchange,1,15:57,2,5:29,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob050,imp,ob050-2,exchange,2,15:23,3,4:48,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob051,imp,ob051-1,exchange,1,13:58,2,5:35,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
,ob053,gz,ob053-1,exchange,1,19:16,2,3:29,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
,ob055,imp,ob055-1,exchange,1,19:32,2,3:52,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
,ob056,imp,ob056-1,exchange,1,17:06,2,4:25,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
,ob058,imp,ob058-1,exchange,1,17:06,2,4:25,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob059,imp,ob059-1,exchange,1,16:57,2,3:30,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
,ob061,gz,ob061-2,exchange,2,13:07,3,3:57,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob063,imp,ob063-1,exchange,1,17:03,2,4:45,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob063,imp,ob063-2,exchange,2,17:00,3,3:51,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
,ob064,imp,ob064-2,exchange,2,12:37,3,5:02,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob065,imp,ob065-2,exchange,2,12:49,3,4:31,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob066,gz,ob066-1,exchange,1,15:52,2,4:33,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob068,imp,ob068-1,exchange,1,16:05,2,3:57,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
,ob068,imp,ob068-2,exchange,2,15:27,3,5:22,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
,ob070,pz,ob070-2,exchange,2,11:49,3,5:03,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob071,imp,ob071-1,exchange,1,18:23,2,3:03,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob074,gz,ob074-1,exchange,1,14:10,2,4:36,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob074,gz,ob074-2,exchange,2,16:44,3,4:12,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob075,imp,ob075-1,exchange,1,16:49,2,3:43,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob079,buf,ob079-1,exchange,1,13:56,2,4:23,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
,ob081,pz,ob081-1,exchange,1,17:52,2,3:57,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
,ob081,pz,ob081-2,exchange,2,17:41,3,5:32,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob083,gz,ob083-1,exchange,1,15:10,2,4:34,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob085,buf,ob085-1,exchange,1,18:39,2,4:37,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
,ob085,buf,ob085-2,exchange,2,18:37,3,3:59,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob087,gz,ob087-4,exchange,4,15:43,5,5:00,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
,ob088,gz,ob088-2,exchange,2,17:01,3,5:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob090,gz,ob090-1,exchange,1,17:42,2,3:22,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob093,pz,ob093-1,exchange,1,14:30,2,3:56,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob093,pz,ob093-2,exchange,2,15:11,3,3:45,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
,ob094,buf,ob094-1,exchange,1,14:18,2,5:36,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob094,buf,ob094-3,exchange,3,15:19,4,4:15,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
,ob095,pz,ob095-1,exchange,1,13:58,2,4:11,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
,ob096,imp,ob096-1,exchange,1,12:41,2,5:03,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
,ob101,pz,ob101-2,exchange,2,15:39,3,4:15,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob101,imp,ob101-2,exchange,2,15:39,3,4:15,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob103,imp,ob103-1,exchange,1,15:52,2,3:09,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob103,imp,ob103-2,exchange,2,16:15,3,3:18,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob105,buf,ob105-1,exchange,1,16:33,2,4:15,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE
,ob106,imp,ob106-1,exchange,1,16:34,2,3:14,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob107,imp,ob107-1,exchange,1,15:48,2,3:13,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob107,imp,ob107-2,exchange,2,15:31,3,3:26,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob110,pz,ob110-2,exchange,2,12:53,3,6:13,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob110,pz,ob110-3,exchange,3,12:29,4,6:19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob111,imp,ob111-1,exchange,1,17:00,2,4:16,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob111,imp,ob111-2,exchange,2,17:38,3,3:40,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob112,imp,ob112-1,exchange,1,14:08,2,4:32,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
,ob113,imp,ob113-1,exchange,1,15:22,2,3:28,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
,ob114,gz,ob114-1,exchange,1,15:52,2,3:51,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob114,pz,ob114-1,exchange,1,15:52,2,3:51,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob114,imp,ob114-1,exchange,1,15:52,2,3:51,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob114,gz,ob114-2,exchange,2,15:23,3,3:57,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob114,pz,ob114-2,exchange,2,15:23,3,3:57,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob114,imp,ob114-2,exchange,2,15:23,3,3:57,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob115,pz,ob115-2,exchange,2,14:05,3,7:42,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
,ob025,pz,ob025-1,post,2,5:04,2,7:04,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob029,imp,ob029-1,post,2,4:09,2,6:09,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
,ob031,imp,ob031-1,post,2,3:09,2,5:09,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
,ob033,pz,ob033-1,post,2,3:53,2,5:53,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
,ob039,imp,ob039-1,post,2,5:10,2,7:10,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob041,buf,ob041-1,post,2,3:49,2,5:49,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
,ob041,buf,ob041-2,post,3,4:32,3,6:32,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
,ob042,imp,ob042-1,post,2,3:07,2,5:07,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob047,pz,ob047-1,post,2,4:30,2,6:30,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob049,pz,ob049-1,post,2,5:31,2,7:31,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob050,imp,ob050-1,post,2,5:30,2,7:30,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob050,imp,ob050-2,post,3,4:49,3,6:49,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob051,imp,ob051-1,post,2,5:36,2,7:36,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
,ob053,gz,ob053-1,post,2,3:29,2,5:29,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
,ob055,imp,ob055-1,post,2,3:53,2,5:53,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob056,imp,ob056-1,post,2,4:26,2,6:26,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
,ob058,imp,ob058-1,post,2,4:26,2,6:26,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob059,imp,ob059-1,post,2,3:31,2,5:31,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
,ob061,gz,ob061-2,post,3,3:58,3,5:58,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob063,imp,ob063-1,post,2,4:46,2,6:46,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob063,imp,ob063-2,post,3,3:52,3,5:52,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob064,imp,ob064-2,post,3,5:02,3,7:02,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob065,imp,ob065-2,post,3,4:31,3,6:31,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob066,gz,ob066-1,post,2,4:33,2,6:33,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob068,imp,ob068-1,post,2,3:57,2,5:57,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
,ob068,imp,ob068-2,post,3,5:22,3,7:22,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
,ob070,pz,ob070-2,post,3,5:03,3,7:03,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob071,imp,ob071-1,post,2,3:03,2,5:03,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob074,gz,ob074-1,post,2,4:36,2,6:36,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob074,gz,ob074-2,post,3,4:12,3,6:12,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
